scenario,status,issue_id,severity,affected_tables,paper_observation,reproduction_implication,project_handling,notes
paper_literal_80_10_10,available,split_support_mismatch,high,"Table 3, Table 4, Table 5, Table 6, Table 7",Paper text claims 80/10/10 train/validation/test split.,"Reported supports are close to a 20% holdout, not a 10% test split.","Provide both paper_literal_80_10_10 and val_as_test_80_20 scenarios; default report uses paper_literal_80_10_10 to follow the paper text, while val_as_test_80_20 is retained for paper-inferred support comparison.",
paper_literal_80_10_10,available,ftd_healthy_support_swap,high,"Table 3, Table 4, Table 6",FTD and Healthy supports align much better if FTD/Healthy are swapped.,Per-class interpretation of model behavior may be reversed for FTD and Healthy.,Provide label_swap and label_swap_80_20 audit runs and include ours_label_swap rows in Table 3 and Table 6 reports.,
paper_literal_80_10_10,available,table6_healthy_support_typo,medium,Table 6,"Table 6 reports Healthy support 1596, but Figure 4d and recall imply 1106.",Table support column cannot be used blindly; Figure 4 row sums are needed for consistency checks.,support_comparison.csv includes both paper table support and paper figure row-sum support.,
paper_literal_80_10_10,available,smote_accuracy_inconsistency,medium,Table 8,"Paper text reports SMOTE accuracy 77.45%, but Table 8 equal supports and recalls imply a different value.",SMOTE headline accuracy should be compared separately from row-level metrics.,accuracy.csv and paper_vs_ours.csv keep Table 8 text accuracy separate from row metrics.,
paper_literal_80_10_10,available,unspecified_smote_placement,medium,"Table 8, Table 9","Paper does not specify whether SMOTE was applied before split, after split, or only to training data.",Exact SMOTE reproduction is not uniquely determined from the paper.,Use explicit simple SMOTE with documented partitions in protocol_manifest.csv.,
paper_literal_80_10_10,available,epoch_level_leakage_risk,high,Table 3 through Table 13,Paper describes epoch-level split and full min-max normalization before split.,Results may be optimistic because adjacent epochs and normalization statistics can leak across partitions.,Reproduce paper-style protocol explicitly and record leakage risk in protocol_manifest.csv; corrected subject-wise protocol is outside Table 1-14 paper reproduction.,
val_as_test_80_20,available,split_support_mismatch,high,"Table 3, Table 4, Table 5, Table 6, Table 7",Paper text claims 80/10/10 train/validation/test split.,"Reported supports are close to a 20% holdout, not a 10% test split.","Provide both paper_literal_80_10_10 and val_as_test_80_20 scenarios; default report uses paper_literal_80_10_10 to follow the paper text, while val_as_test_80_20 is retained for paper-inferred support comparison.",
val_as_test_80_20,available,ftd_healthy_support_swap,high,"Table 3, Table 4, Table 6",FTD and Healthy supports align much better if FTD/Healthy are swapped.,Per-class interpretation of model behavior may be reversed for FTD and Healthy.,Provide label_swap and label_swap_80_20 audit runs and include ours_label_swap rows in Table 3 and Table 6 reports.,
val_as_test_80_20,available,table6_healthy_support_typo,medium,Table 6,"Table 6 reports Healthy support 1596, but Figure 4d and recall imply 1106.",Table support column cannot be used blindly; Figure 4 row sums are needed for consistency checks.,support_comparison.csv includes both paper table support and paper figure row-sum support.,
val_as_test_80_20,available,smote_accuracy_inconsistency,medium,Table 8,"Paper text reports SMOTE accuracy 77.45%, but Table 8 equal supports and recalls imply a different value.",SMOTE headline accuracy should be compared separately from row-level metrics.,accuracy.csv and paper_vs_ours.csv keep Table 8 text accuracy separate from row metrics.,
val_as_test_80_20,available,unspecified_smote_placement,medium,"Table 8, Table 9","Paper does not specify whether SMOTE was applied before split, after split, or only to training data.",Exact SMOTE reproduction is not uniquely determined from the paper.,Use explicit simple SMOTE with documented partitions in protocol_manifest.csv.,
val_as_test_80_20,available,epoch_level_leakage_risk,high,Table 3 through Table 13,Paper describes epoch-level split and full min-max normalization before split.,Results may be optimistic because adjacent epochs and normalization statistics can leak across partitions.,Reproduce paper-style protocol explicitly and record leakage risk in protocol_manifest.csv; corrected subject-wise protocol is outside Table 1-14 paper reproduction.,
